Num,target,statement,classification,rationale
,,"At Shah On Aaj Tak, Home Minister Amit Shah defended the CAA and attacked the Congress.",Pro,"Home Minister Amit Shah defends the CAA and attacks the Congress, which is a clear pro-government statement defending its policy and criticizing the opposition."
,,"Can the Supreme Court step in to resolve contentious issues related to the Places of Worship Act, hijab, and the Citizenship Amendment Act? Also on the show, the Congress fact-checks a Smriti Irani video.",Anti,"Asks about the Supreme Court's role in contentious issues including CAA, and mentions the Congress fact-checking a minister, indicating an opposition action."
,,Why are campuses the epicentre of anti-CAA protests? Watch News Today with @sardesairajdeep.,Neutral,"The statement poses a question and directs viewers to a news program, implying a discussion about the protests without taking a stance."
,,"From India Today At Davos 20, @SadhguruJV told @RahulKanwal that the Government has definitely failed in its ability to communicate the idea of CAA.",Anti,"The statement quotes Sadhguru saying the government failed in communicating the CAA, which is a criticism of the government's handling of the issue."
,,The Supreme Court of India is scheduled to hear a batch of petitions challenging the constitutional validity of the Citizenship Amendment Act 2019. Srishti Ojha shares details.,Neutral,"This is a factual report about a legal proceeding concerning the CAA, presented objectively."
,,"The Joe Biden administration may give US citizenship to over 500,000 Indians.",Neutral,"This statement is about US policy and its impact on Indians, not directly related to the Indian government's stance on CAA."
,,The Assam government on Wednesday said the positive investment outlook in the state was hit due to violent protests against the new citizenship law.,Pro,"The statement from the Assam government (allied with the central government) frames the anti-CAA protests as detrimental to the state's economy, indirectly justifying the law or minimizing its negative perception."
,,"The Citizenship Amendment Act was passed by Parliament on December 11, 2019 and the Presidential nod was received the next day.",Neutral,This is a factual statement about the legislative process of the CAA.
,,A delegation of Sikhs and Hindus from Afghanistan met Prime Minister Narendra Modi at his residence here on Saturday and thanked him for bringing about the Citizenship Amendment Act (CAA).,Pro,"The statement describes a delegation thanking the Prime Minister for the CAA, indicating support for the government's action."
,,"The Joe Biden administration may give US citizenship to over 500,000 Indians.",Neutral,"This statement is about US policy and its impact on Indians, not directly related to the Indian government's stance on CAA."
,,"In Assam, the Citizenship Amendment Act, 2019, was the central issue in the state even though it did not find a place in the BJP's manifesto.",Neutral,This statement factually reports on the political issue in Assam concerning the CAA and the BJP's manifesto.
,,Kerala Chief Minister Pinarayi Vijayan on Thursday asserted that his government would not implement the controversial Citizenship (Amendment) Act (CAA).,Anti,"The statement quotes the Kerala Chief Minister asserting his government would not implement the CAA, which is an opposition to the central government's policy."
,,"Criticising his party's stand on CAA, Chandra Bose said if the party does not change the citizenship law, he may have to rethink his decision to remain in the BJP.",Anti,"The statement describes a party member criticising the party's stand on CAA and threatening to rethink his membership, indicating internal dissent and opposition to the law."
,,"CAA was a way to atone for the sin of Partition committed by Congress, according to Pratap Sarangi.",Pro,"This statement attributes a positive framing of the CAA as atonement for Partition to a political figure, implying support."
,,When the Citizenship Act was amended 20 years ago for Hindus from Pakistan.,Neutral,"This statement refers to a past amendment of the Citizenship Act, presented factually without current political commentary."
,,The Trinamool Congress has promised to repeal the Citizenship Amendment Act and stop the implementation of a Uniform Civil Code in the country in its manifesto released on Wednesday.,Anti,"The statement reports that a political party promised to repeal the CAA in its manifesto, indicating opposition to the law."
,,Assam Chief Minister Himanta Biswa Sarma revealed only eight people had applied for citizenship under the Citizenship Amendment Act (CAA) in the four months after the rules were notified.,Neutral,"This statement presents data on applications for citizenship under CAA, factually reporting on its uptake."
,,"A BJP Minister says he 'will apply for CAA', while Trinamool questions his post.",Neutral,"This statement reports a situation where a BJP minister's post about applying for CAA is questioned by another party, presenting a political exchange."
,,"Pinarayi Vijayan, who leads the LDF government, called out Congress leader Rahul Gandhi for not speaking about the Citizenship Amendment Act during his address in Wayanad.",Neutral,"This statement reports a state CM criticising a national leader for not speaking on the CAA, a political observation without direct support or opposition to the CAA itself."
,,The Home Ministry's notification of CAA rules has sparked a surge in fresh petitions in the Supreme Court. A look at the arguments for and against the legislation.,Neutral,This is a neutral statement indicating that the notification of CAA rules has led to new petitions and will explore arguments for and against it.
,,Indian Union Muslim League party MPs held a protest against the Citizenship Amendment Bill in front of the Gandhi statue in Parliament premises.,Anti,"The statement describes MPs holding a protest against the Citizenship Amendment Bill, which is a clear act of opposition."
,,"Finance Minister of Assam @himantabiswa spoke exclusively to India Today about the Citizenship Amendment Bill, saying this bill has passed the scrutiny of time.",Pro,"The statement quotes a Finance Minister of Assam speaking exclusively to India Today about the Citizenship Amendment Bill, saying it has passed the scrutiny of time, indicating support."
,,"Regarding the Citizenship Amendment Act, Union Sports Minister @KirenRijiju, while talking exclusively to India Today, said, ""Protest in North East is related to people's concern about their identity... Protests being carried out in Delhi are very political in nature.""",Pro,"The Union Minister differentiates between 'genuine' identity-related concerns and 'political' protests, which is a common government narrative to delegitimize broader anti-CAA movements and defend the law."
,,Lawyer @suhrith gave his opinion on the Citizenship Amendment Bill 2019 on News Today with @sardesairajdeep.,Neutral,"This statement indicates a lawyer gave an opinion on the Citizenship Amendment Bill on a news program, presenting factual reporting of an event."
,,Assam Finance Minister @himantabiswa spoke about the citizenship bill row on Jab We Met live with @rahulkanwal.,Neutral,"This statement reports a state finance minister discussing the citizenship bill row on a live program, factually describing an event."
,,"The Citizenship Bill is not against any article of the Constitution, says @AmitShah.",Pro,"This statement quotes the Home Minister asserting the Citizenship Bill is not against the Constitution, which is a defense and support of the government's policy."
,,"At Conclave East 19, Assam Finance Minister @himantabiswa said that Prime Minister @narendramodi does not need NRC and the Citizenship Amendment Bill to win elections.",Pro,"Himanta Biswa Sarma's statement defends PM Modi by asserting that the laws are not driven by electoral needs, indirectly supporting the government's intent behind them."
,,"Janata Dal (United) vice-president Prashant Kishor said that ""Non-BJP"" chief ministers must save ""the soul of India"" after the Citizenship (Amendment) Act was approved by Parliament and signed into law this week.",Anti,"The statement quotes a political leader urging non-BJP chief ministers to save the 'soul of India' after the CAA was approved, implying strong opposition to the law."
,,Prakash Ambedkar said that the Citizenship Amendment Bill has been brought in to hide the present deteriorating economic circumstances in the country.,Anti,"The statement quotes a political figure saying the Citizenship Amendment Bill was brought in to hide deteriorating economic circumstances, which is a criticism of the government's motives."
,,Yogendra Yadav said that this is the first time in independent India that citizens are being connected with religion.,Anti,"The statement quotes a political figure stating that citizens are being connected with religion for the first time in independent India, implying criticism of the CAA's religious aspect."
,,"Muslims have been given a ""country"" while India is merely giving citizenship to Hindus, Assam minister @himantabiswa said at Lets Conclave 19.",Pro,"Himanta Biswa Sarma's statement justifies the CAA's focus on non-Muslims, aligning with the government's narrative and defending its religious distinction."
,,"""The country and its leaders, political parties need to come together to discuss the economic slowdown instead of fighting over this issue. There was no need to discuss the Citizenship Act,"" said @ArvindKejriwal at Agenda Aajtak 19.",Anti,"Arvind Kejriwal's statement criticizes the government for prioritizing the Citizenship Act over economic issues, implying the law is an unnecessary distraction."
,,"The Citizenship Bill seeks to grant citizenship to all non-Muslim refugees from Pakistan, Bangladesh and Afghanistan if they faced religious persecution in these neighboring countries.",Neutral,"This statement factually explains the provisions of the Citizenship Bill, without expressing an opinion."
,,"@PrashantKishor stated: ""I join my voice with all to thank Congress leadership for their formal and unequivocal rejection of CAA-NRC.""",Anti,"The statement quotes a political strategist thanking the Congress leadership for rejecting the CAA-NRC, indicating opposition to the government's policies."
,,The Citizenship Amendment Bill is being opposed by Opposition parties and many civil rights activists on the ground that it discriminates against Muslims.,Neutral,"This statement factually reports that opposition exists and gives the reason for it, without endorsing or refuting the claim of discrimination."
,,"At Jabalpur in Madhya Pradesh, @AmitShah said, ""I challenge Mamata Banerjee and Rahul Baba, to find out a provision from CAA that can take citizenship away from anyone in this country.""",Pro,"The statement quotes a Home Minister challenging political opponents to find a provision in the CAA that revokes citizenship, defending the law."
,,"Regarding the Bengal anti-CAA protest, @MamataOfficial says people who indulged in violence took money from the BJP.",Anti,"Mamata Banerjee's statement accuses BJP of orchestrating violence in anti-CAA protests, making it an anti-BJP (and indirectly anti-government) statement."
,,"During a debate on Citizens Vs Illegals, Congress Spokesperson @JaiveerShergill said, ""An Indian citizen should not be labelled foreigner overnight."" BJP Spokesperson @sambitswaraj said, ""NRC began in 1985 when Rajiv Gandhi agreed for it.""",Neutral,"This statement presents contrasting views from a Congress spokesperson and a BJP spokesperson on citizenship and NRC, reflecting a political debate."
,,At least 21 people have died in clashes with police during anti-CAA protests.,Neutral,"This is a factual statement about deaths during anti-CAA protests, reporting an event without taking a side."
,,The student unions of many colleges affiliated with Delhi University distanced themselves from the pro-CAA stand taken by the Delhi University Students Union.,Anti,"The statement reports that student unions distanced themselves from a 'pro-CAA stand,' indicating an anti-CAA sentiment from these bodies."
,,"Jatin Bora, who recently acted in the hit film ""Ratnakar"", had joined the BJP in 2014.",Neutral,"This statement provides background information about a film personality joining the BJP, unrelated to the CAA."
,,A Jadavpur University gold medalist tore a copy of the Citizenship Amendment Act while receiving her degree.,Anti,"The statement describes a student tearing a copy of the CAA while receiving a degree, an act of protest against the law."
,,This is for the first time that the Maharashtra government has spelled out in clear terms that CAA and NRC will not be implemented across the state.,Anti,"This statement reports the Maharashtra government's clear stance against implementing CAA and NRC, indicating opposition to the central government's policy."
,,"""Illegal immigrants who have settled here are the most dangerous, we will implement NRC here as well,"" @ManojTiwariMP said.",Pro,"The statement quotes a political figure stating the intent to implement NRC, framing illegal immigrants as dangerous, which aligns with a government narrative supporting such measures."
,,"News Alert: Rabiha, a gold medalist from Pondicherry University, rejected the gold medal because she was allegedly denied entry into the convocation hall when President Kovind arrived for the event on suspicion that she could protest against CAA.",Anti,"The incident highlights alleged suppression of an anti-CAA protestor, leading to her symbolic rejection, framing the situation negatively regarding freedom of expression vis-a-vis the government's stance."
,,"BJP Spokesperson Sambit Patra, addressing the media on anti-CAA protests, said, ""Rahul Gandhi was trying to instigate the people by saying PM Modi is trying to differentiate between Hindu and Muslims.""",Pro,"Sambit Patra's statement defends PM Modi and criticizes Rahul Gandhi, aiming to delegitimize anti-CAA protests and support the government's narrative."
,,"News Alert: Kapil Sibal stated, ""The Home Minister is not aware of our history and nor has he read our constitution properly. I would like him to read it carefully. The division of India-Pakistan was not because of religion.""",Anti,"The statement quotes a senior political figure criticising the Home Minister's understanding of history and the constitution regarding the division of India, an attack on a government representative and policy."
,,"News Alert: ‘Killings of minorities in Pakistan underline the need for CAA,’ Harsimrat Kaur Badal wrote in a tweet.",Pro,"The statement quotes a minister using killings of minorities in Pakistan to underline the need for CAA, framing the law as a necessary measure."
,,"On The Right Stand, @Swamy39 told @AnchorAnandN, ""We have to understand that the right to equality is only for the same category of persons. Those who have suffered religious persecution and those who have not suffered – there is a difference between the two.""",Pro,"The statement quotes a BJP MP explaining the right to equality in relation to religious persecution, justifying the CAA's differential approach."
,,"On The Right Stand, BJP MP Subramanian Swamy (@Swamy39) told @AnchorAnandN that Sri Lankan Tamils cannot qualify under any category of being persecuted.",Neutral,"The statement quotes a BJP MP stating that Sri Lankan Tamils cannot qualify under persecution categories for CAA, a specific legal interpretation."
,,"On The Hard Facts with @RShivshankar, advocate and author @jsaideepak gave a point-by-point rebuttal to arguments made by CJI Chandrachud's son Abhinav against the Citizenship Amendment Act.",Pro,"The statement describes an advocate refuting arguments against the CAA, indicating a defense and support of the law."
,,"Speaking at a conclave, Union Home Minister Amit Shah said the opposition has been spreading misconception about the Citizenship Amendment Act for “vote bank” politics ahead of the 2024 Lok Sabha elections.",Pro,"Amit Shah's statement defends the CAA by accusing the opposition of spreading 'misconceptions' for political gain, framing the government positively and its critics negatively."
,,"Delhi CM Arvind Kejriwal called the Citizenship Amendment Act 'vote bank politics', saying, ""They are announcing CAA but the main issues today are inflation and jobs. You want to bring Pakistanis here and give them jobs?""",Anti,"The statement quotes Delhi CM calling CAA 'vote bank politics' and questioning its focus over inflation and jobs, expressing opposition and criticism."
,,"CAA is a limited inclusive intervention to address unfortunate realities of neighborhood nations, said Lawyer J Sai Deepak (@jsaideepak), at the News18 Rising Bharat Summit.",Pro,"The statement quotes a lawyer describing CAA as a 'limited inclusive intervention' to address realities in neighbouring nations, a supportive characterization."
,,"As the Citizenship Amendment Act becomes a reality, persecuted Hindus celebrate. News18's @AnvitSrivastava spoke to one such family which got emotional while remembering their struggles.",Pro,"The statement reports persecuted Hindus celebrating the CAA becoming a reality and speaking emotionally about their struggles, indicating strong support for the law."
,,Candles were lit and Ambedkar posters were held high as thousands at India Gate recalled India's secular values.,Anti,"This statement describes an event highlighting 'secular values' in a context where CAA is seen as challenging these values, thus implying an anti-CAA stance."
,,AIMIM's @syedasimwaqar speaks on Owaisi's demand of rolling back CAA and NRC.,Anti,"The statement indicates an AIMIM leader speaking on Owaisi's demand to roll back CAA and NRC, reflecting an opposition stance."
,,"News Alert: @asadowaisi stated, ""Winning over 300 seats did not mean Prime Minister @narendramodi can do whatever he likes or snatch away the constitutional rights of the minorities. Muslims are shareholders, not tenants in India. They are equal citizens of this country.""",Anti,"The statement quotes a political leader criticising the Prime Minister for not respecting constitutional rights of minorities and stating Muslims are equal citizens, implying opposition to policies perceived as discriminatory."
,,The Prime Minister Narendra Modi-led government on Monday announced the implementation of the Citizenship Amendment Act (CAA). Reactions are coming in from across the Nation.,Neutral,This statement neutrally reports the government's announcement of CAA implementation and the subsequent reactions.
,,"Delhi CM Arvind Kejriwal called the Citizenship Amendment Act 'vote bank politics', saying, ""They are announcing CAA but the main issues today are inflation and jobs. You want to bring Pakistanis here and give them jobs?""",Anti,"The statement quotes Delhi CM calling CAA 'vote bank politics' and questioning its focus over inflation and jobs, expressing opposition and criticism."
,,"A day after the Centre notified the rules for the implementation of the Citizenship Amendment Act, politics escalated over the matter.",Neutral,This statement neutrally reports that politics escalated after the Centre notified CAA rules.
,,Delhi Chief Minister Arvind Kejriwal on Friday took a potshot at the Pakistani and Bangladeshi refugees who have been protesting against the opposition leaders’ comments on the Citizenship Amendment Act (CAA).,Anti,Kejriwal taking a 'potshot' at pro-CAA protestors (refugees) who were protesting opposition leaders implies an anti-CAA stance.
,,The Modi government announced the implementation of the Citizenship Amendment Act. News18's @Arunima24 explains what changes after CAA rules are notified.,Neutral,This statement neutrally reports the Modi government's announcement of CAA implementation and explains the changes after rules are notified.
,,BREAKING: Victory for Muslim women's rights. An ordinance on Triple Talaq has been approved by the cabinet.,Pro,"This statement frames the Triple Talaq ordinance as a 'victory,' aligning with the government's narrative on this policy, reflecting a pro-government stance on this issue."
,,"BREAKING: On NRC Assam, BJP president @AmitShah said, ""The rights of Indian citizens are being usurped. Immigrants need to be weeded out.""",Pro,"Amit Shah's statement is a strong endorsement of NRC, aligning with the government's stance on weeding out immigrants."
,,"The Ministry of Home Affairs could notify the rules for the Citizenship (Amendment) Act of 2019 (CAA) before the implementation of the Model Code of Conduct, said sources.",Neutral,"This statement reports a potential timeline for the Ministry of Home Affairs to notify CAA rules, based on sources."
,,BREAKING NEWS: The PM Modi Government has announced the implementation of the Citizenship Amendment Act. It was an integral part of the BJP’s 2019 manifesto.,Neutral,Reports factually on the implementation of the law and its connection to the ruling party's manifesto.
,,"Rules for the Citizenship (Amendment) Act of 2019 will be notified ""much before"" the announcement of the Lok Sabha elections, says a report.",Neutral,"This statement reports a timeline for notifying CAA rules before the Lok Sabha elections, based on a report."
,,"Amidst the political furore over the Citizenship Amendment Act, a number of Muslim influencers have come out in support of the law.",Pro,"The statement reports that Muslim influencers have come out in support of the CAA amidst political furore, indicating support for the law."
,,"The Centre notified the rules for the implementation of the Citizenship Amendment Act, and politics escalated over the matter.",Neutral,This statement neutrally reports that the Centre notified CAA rules and that politics escalated over the matter.
,,"News Alert: UP CM Yogi Adityanath stated, ""If anyone will raise slogans of Azadi in the name of protest, it will amount to sedition & the government will take strict action. It can't be accepted. People can't be allowed to conspire against India from Indian soil.""",Pro,"The statement quotes a UP CM stating that 'Azadi' slogans during protests amount to sedition and will be acted upon, expressing a strong stance against dissent which supports the government's position on controlling protests."
,,"Just In: Bhim Army Chief Chandrashekhar Azad said, ""Many are saying that Muslims are out on the road. This is wrong; look at us. We are Dalits.""",Anti,"Chandrashekhar Azad's statement emphasizes broader participation in protests (beyond just Muslims), implicitly countering a government narrative that might seek to isolate the protests."
,,Ram Madhav of the RSS (@rammadhav_rss) shared his views with @AnchorAnandN on The Right Perspective about the people who came to the streets and spread misinformation when the CAA (Citizenship (Amendment) Act) happened.,Pro,"Ram Madhav's statement dismisses anti-CAA protests as being based on 'misinformation,' which is a common government-aligned narrative to delegitimize opposition."
,,"Kerala will not implement the Citizenship Amendment Act, said CM Pinarayi Vijayan.",Anti,"This statement reiterates that Kerala CM Pinarayi Vijayan stated Kerala will not implement the CAA, indicating opposition."
,,"Aamna Aasif, a Jamia Eyewitness, stated, ""The Police were mute spectators until the man fired a bullet and when my friend Shadab got injured even then the Police didn’t help him.""",Anti,"The eyewitness account is critical of police conduct during a protest, implying a failure in state response."
,,"In the AIADMK's manifesto for the upcoming state elections, CM E Palaniswami announced that the ruling party will ask the Centre to drop the Citizenship Amendment Act if it returns to power.",Anti,"The statement reports a Chief Minister announcing that the ruling party will ask the Centre to drop the CAA if it returns to power, indicating opposition."
,,"Kerala Chief Minister P Vijayan opposes the Citizenship Amendment Act. Vijayan took on Home Minister Amit Shah, saying the CAA will not be implemented in Kerala.",Anti,"The statement reports a Kerala Chief Minister opposing the CAA and stating it will not be implemented in Kerala, a clear stance against the central law."
,,"Assam Chief Minister Himanta Biswa Sarma has reiterated the BJP's commitment to the Citizenship Amendment Act (CAA), saying the party will implement it in the country the way it fulfilled the promises of Ram Mandir and Article 370 revocation.",Pro,"The statement quotes an Assam Chief Minister reiterating commitment to CAA and comparing its implementation to fulfilling promises like Ram Mandir, indicating strong support and political will."
,,Breaking: A Supreme Court bench headed by CJI UU Lalit is set to hear over 200 petitions challenging the Citizenship (Amendment) Act 2019 on Monday.,Neutral,"This statement is a breaking news alert about the Supreme Court hearing petitions challenging the CAA, a factual report on a legal process."
,,"Breaking News: In a hearing for pleas challenging the Citizenship Amendment Act, Senior Advocate Kapil Sibal told the Supreme Court that Assam wasn't originally a part of India.",Anti,"Kapil Sibal's argument, made in the context of challenging CAA, introduces a contentious historical claim that could undermine the basis of such laws."
,,"News Alert: Bhupesh Baghel, Chhattisgarh Chief Minister said, ""If the NRC is implemented, I will be the first person to not sign the register. In South Africa Gandhi ji started a movement against 'Angrez', similarly we will oppose these 'Kale Angrez' here.""",Anti,"The statement quotes a Chhattisgarh Chief Minister stating his opposition to NRC and comparing it to 'Kale Angrez', a strong criticism of the government's policy."
,,"On The Hard Facts, regarding Karnataka Politics, Analyst @MCABBAS stated, ""Only for the ease of understanding language, comprehension for young kids who come into rural schools, Urdu has been mandated."" @SurabhiHodigere countered, ""Congress campaigns in two languages, Kannada and Urdu.""",Neutral,"This statement presents a debate between two analysts on language mandates in rural schools and political campaigning, unrelated to CAA."
,,"Breaking News: AIMIM supremo Asaduddin Owaisi slammed the RSS chief's 'shed supremacy narrative' remark for Muslims, asking, ""How dare he put conditions on our citizenship?"" BJP's @Shehzad_Ind stated that Mohan Bhagwat's message should be welcomed.",Neutral,"This statement reports a political exchange between an AIMIM leader and a BJP spokesperson regarding RSS chief's remarks on Muslims, a political debate."
,,"The Centre issued the rules for the Citizenship Amendment Act four years after the law was passed to fast-track citizenship to non-Muslims who entered India from three neighboring countries: Afghanistan, Pakistan and Bangladesh.",Neutral,"This statement factually reports the Centre issuing CAA rules four years after the law was passed, explaining its purpose."
,,"On Brass Tacks, @tehseenp stated, ""Hindus coming from Myanmar and Sri Lanka do not get the same opportunity as a Hindu coming from Bangladesh, Pakistan or Afghanistan."" @Sanju_Verma_ responded, ""India is not bound to provide citizenship or refugee status to anybody.""",Neutral,"This statement presents a debate between two individuals on the opportunities for refugees under CAA, with one defending India's position and the other highlighting disparities."
,,"Speaking at the News18 Rising Bharat conclave, Union Home Minister Amit Shah said the opposition has been spreading misconception about the Citizenship Amendment Act for “vote bank” politics ahead of the 2024 Lok Sabha elections.",Pro,"Amit Shah's statement defends the CAA by accusing the opposition of spreading 'misconceptions' for political gain, framing the government positively and its critics negatively."
,,"Breaking News: Assam CM Himanta Biswa Sarma made a big statement on the Citizenship Amendment Act, saying, ""I will resign if...""",Pro,Reports a dramatic statement from a ruling party CM ('I will resign if...') intended to show strong commitment to and confidence in the CAA.
,,"Opinion: The amendment to the Citizenship Act marks a turning point in the history of India, sending out a clear message that this nation will protect the vulnerable minorities of the neighborhood.",Pro,"The opinion piece describes the Citizenship Act amendment as a turning point that sends a message of protecting vulnerable minorities, a positive framing."
,,Will CAA sway the Bengal Bangaon battleground? The Citizenship Amendment Act sparks hope among the Matuas.,Pro,"The statement suggests that CAA sparks hope among a specific community in Bengal, indicating a positive impact and support for the law."
,,Delhi Police has beefed up security in Shaheen Bagh and parts of Delhi following the implementation of the Citizenship Amendment Act.,Neutral,"This statement reports an increase in security in response to the implementation of CAA, a factual observation of law enforcement actions."
,,"When asked about his assessment of India's democracy, Salvatore Babones (@ProfBabones) praised the Citizenship Amendment Act (CAA) as a good policy but criticized it as bad politics, highlighting India's inclusive society.",Pro,"While acknowledging it might be 'bad politics,' the explicit praise for CAA as a 'good policy' positions this statement as pro-government/law on its merits."
,,"Regarding the Tirumala Prasadam issue, Sujatha Mahesh claimed the law mandates declarations only from foreigners, questioning why Jagan Mohan needs to comply as a citizen. @PattabhiRamK1 countered, ""Was APJ Abdul Kalam a foreigner? He signed the declaration because he was Muslim.""",Neutral,"This statement presents a debate about declaration requirements for citizens versus foreigners, with a counter-argument referencing APJ Abdul Kalam, a discussion on citizenship rules."
,,CAA Live Updates: Kejriwal and Mamata are to brief the media. The Act 'doesn't differentiate on faith but classifies on the ground of religious persecution'.,Pro,"The second part of the statement, 'The Act 'doesn't differentiate on faith but classifies on the ground of religious persecution',' is a direct defense of the CAA, aligning with the government's narrative."
,,"CAA Live Updates: A Muslim Jamat President 'welcomes the law', and says 'protests happen as some parties give the wrong idea'. A notice has been sent over a 'Sarbatmak Hartal'.",Pro,"The statement quotes a Muslim Jamat President welcoming the law and attributing protests to misinformation, indicating support for the CAA."
,,Former Indian President Fakhruddin Ali Ahmed's brother’s family could not find their names in the NRC draft list released on Monday. Ziauddin Ali Ahmed says he is very worried and will look into the matter.,Anti,"This statement highlights a significant negative outcome of the NRC draft (exclusion of a former President's family), creating worry and implicitly criticizing the process."
,,Indians in Japan are in support of the Citizenship Amendment Act.,Pro,"This statement reports that Indians in Japan are in support of the Citizenship Amendment Act, indicating positive sentiment abroad."
,,BREAKING NEWS: The Lok Sabha has passed the Citizenship Amendment Bill 2019.,Neutral,"This is a breaking news alert stating that the Lok Sabha has passed the Citizenship Amendment Bill, a factual report on legislative progress."
,,"The Central Government hereby appoints the 10th day of January, 2020 as the date on which the provisions of the Citizenship (Amendment) Act, 2019 shall come into force.",Neutral,"This statement factually reports the date from which the provisions of the Citizenship (Amendment) Act, 2019, came into force."
,,BREAKING NEWS: President Ram Nath Kovind has given his assent to the Citizenship Amendment Bill 2019.,Neutral,"This is a breaking news alert stating that the President has given assent to the Citizenship Amendment Bill, a factual report on the legislative process."
,,"The Calcutta High Court has directed the West Bengal government to remove all anti-Citizenship Amendment Act advertisements put up all across the state. The court has posted the matter for January 9, 2020, for further hearing.",Pro,"The High Court's directive to remove 'anti-Citizenship Amendment Act advertisements' is a legal action that suppresses opposition to the law, indirectly supporting the government's position by limiting dissent."
,,"BREAKING NEWS: The Rajya Sabha has passed the Citizenship Amendment Bill; 125 were in favour, and 105 were against.",Neutral,"This is a breaking news alert stating that the Rajya Sabha has passed the Citizenship Amendment Bill with a vote count, a factual report on legislative progress."
,,BREAKING: The Citizenship Amendment Bill 2019 has been tabled in the Lok Sabha.,Neutral,"This is a breaking news alert stating that the Citizenship Amendment Bill 2019 has been tabled in the Lok Sabha, a factual report on legislative proceedings."
,,Prasar Bharati Chairman Surya Prakash condemns violence during protest against the Citizenship Amendment Act.,Neutral,The statement reports on a condemnation of violence during a protest without taking a side on the protest's cause or the government's action.
,,"Delhi: Entry & exit gates of Rajiv Chowk, Pragati Maidan, and Khan Market Metro Stations are closed in view of protests against the Citizenship Amendment Act.",Neutral,"This statement factually reports on the closure of metro stations due to protests, not taking a stance on the CAA itself or the government's response."
,,"The Ministry of Home Affairs gives an explainer on provisions pertaining to citizenship in India and concerns regarding the Citizenship Amendment Act 2019. In a series of tweets, MHA assures that no Indian citizen will be unduly harassed or put to inconvenience.",Pro,"The statement describes the Ministry of Home Affairs providing an explainer and assurances about the CAA, which is a supportive action by the government."
,,"If you have any doubts or questions about the Citizenship (Amendment) Act (CAA), 2019, here are the answers to some FAQs about it. Myth busted!",Pro,"The statement offers FAQs and debunks myths about the CAA, which is an effort to promote and justify the Act."
,,Supreme Court: All other Petitions challenging the validity of the Citizenship Amendment Act will be taken up by the Court on 18th December.,Neutral,"This statement reports on a procedural step by the Supreme Court to hear petitions, without indicating the court's stance on the CAA's validity."
,,Rallies in support of the Citizenship Amendment Act are being organized all over the country. Home Minister Amit Shah will visit Jodhpur while BJP Working President J. P. Nadda will be in Panaji to attend rallies in support of the Act.,Pro,"The statement highlights rallies in support of the CAA and the participation of senior government figures, indicating government backing for the Act."
,,"The Supreme Court has issued a notice to the Centre on petitions challenging the validity of the Citizenship Amendment Act, and has asked the Centre to file a reply before January 22nd. The Court refused to stay the Citizenship Amendment Act.",Neutral,"This statement reports on the Supreme Court issuing a notice and asking for a reply, which is a procedural step in a legal challenge and not a definitive stance on the CAA."
,,Prime Minister Narendra Modi reiterates that the Citizenship Amendment Act does not take away the citizenship of any Indian.,Pro,"The statement quotes the Prime Minister reiterating that the CAA does not take away citizenship, which is a defense and endorsement of the Act."
,,"Citizenship Amendment Act: Pakistan Refugees Celebrate after the Central Government notifies implementation of the Citizenship Amendment Act (CAA). The Act was passed in December 2019. The Bill seeks to fast-track Indian Citizenship to Hindus, Sikhs, Buddhists, Jains, Parsis, and.",Pro,"The statement describes Pakistan refugees celebrating the implementation of the CAA, and explains the Act's purpose, which is positive framing for the CAA."
,,"Citizenship Amendment Act: The Kerala Government moves the Supreme Court seeking to stay the implementation of the Citizenship Amendment Act (CAA), 2019, and Citizenship Amendment Rules, 2024.",Anti,"The statement reports on the Kerala Government moving the Supreme Court to stay the implementation of the CAA, indicating opposition from a state government."
,,The Citizenship Amendment Act 2019 comes into force.,Neutral,"This is a factual statement about the CAA coming into force, without any explicit support or opposition."
,,The BJP will hold a massive public awareness campaign to dispel misconceptions regarding CAA 2019 from Sunday; the party will reach out to three crore families over a period of ten days; a toll free number has been launched.,Pro,"The statement describes the BJP's plan for a public awareness campaign to dispel misconceptions about the CAA, indicating a proactive effort to support the Act."
,,Supreme Court: Will not grant any stay on CAA without hearing the centre.,Neutral,"This statement reports the Supreme Court's decision not to grant a stay without hearing the centre, which is a procedural ruling, not an endorsement or rejection of the CAA."
,,The Indian diaspora staged a demonstration in favour of the CAA in London.,Pro,"The statement mentions the Indian diaspora demonstrating in favour of the CAA in London, indicating support for the Act."
,,Union Home Minister Amit Shah grants Indian citizenship to 188 Pakistani Hindus under CAA.,Pro,"This statement reports the Union Home Minister granting Indian citizenship under the CAA, which highlights the Act's implementation and positive outcome for recipients."
,,Union Home Minister Amit Shah to grant Indian citizenship to 188 Pakistani Hindus under CAA.,Pro,"The statement announces the Union Home Minister granting citizenship under the CAA, presenting a positive action related to the Act."
,,"The Citizenship Amendment Act was passed by the Parliament this year. News That Made 2019, 2019 Top 10, Landmark Initiatives.",Neutral,This statement is a factual report on the parliamentary passage of the CAA and its classification as a landmark initiative.
,,DD Exclusive: India's unwavering commitment to providing protection & rights to persecuted minorities was showcased on May 15 when the first batch of citizenship certificates was granted. Watch DECODING CITIZENSHIP AMENDMENT ACT as DD India's Sakal Bhatt uncovers the myths.,Pro,"The statement highlights India's commitment to protecting minorities and debunks myths about the CAA, which is a supportive portrayal of the Act."
